match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration,augment_name,rarity
TR1_1657751538,9,Sett,2,5,6,0,0.83,9205,14,26255,52587,16729,41637,0.1397131400719576,0.2592204107388464,75,0,6,60,1281,Ocean Soul,0.0
TR1_1657751538,9,Sett,2,5,6,0,0.83,9205,14,26255,52587,16729,41637,0.1397131400719576,0.2592204107388464,75,0,6,305,1281,Leg Day,0.0
TR1_1657751538,9,Sett,2,5,6,0,0.83,9205,14,26255,52587,16729,41637,0.1397131400719576,0.2592204107388464,75,0,6,79,1281,Symphony of War,2.0
TR1_1657751538,10,Briar,3,7,6,6,2.17,13000,17,25537,24653,23648,25658,0.1358923105714061,0.1215264283520514,174,9,13,136,1281,Slap Around,0.0
TR1_1657751538,10,Briar,3,7,6,6,2.17,13000,17,25537,24653,23648,25658,0.1358923105714061,0.1215264283520514,174,9,13,138,1281,Goredrink,0.0
TR1_1657751538,10,Briar,3,7,6,6,2.17,13000,17,25537,24653,23648,25658,0.1358923105714061,0.1215264283520514,174,9,13,115,1281,Scopiest Weapons,2.0
TR1_1657751538,10,Briar,3,7,6,6,2.17,13000,17,25537,24653,23648,25658,0.1358923105714061,0.1215264283520514,174,9,13,250,1281,Slow and Steady,1.0
TR1_1657751538,11,Ambessa,3,7,6,6,2.17,13000,17,39809,27519,5791,40481,0.2118421487781795,0.1356495276978,154,0,8,214,1281,Spin To Win,0.0
TR1_1657751538,11,Ambessa,3,7,6,6,2.17,13000,17,39809,27519,5791,40481,0.2118421487781795,0.1356495276978,154,0,8,237,1281,Transmute: Gold,0.0
TR1_1657751538,11,Ambessa,3,7,6,6,2.17,13000,17,39809,27519,5791,40481,0.2118421487781795,0.1356495276978,154,0,8,125,1281,Raid Boss,2.0
TR1_1657751538,11,Ambessa,3,7,6,6,2.17,13000,17,39809,27519,5791,40481,0.2118421487781795,0.1356495276978,154,0,8,227,1281,Stats on Stats!,1.0
TR1_1657751538,12,Briar,4,9,5,9,3.6,18260,18,68450,66772,60173,56082,0.1453625606736406,0.1463208145624129,241,6,13,22,1281,Deft,0.0
TR1_1657751538,12,Briar,4,9,5,9,3.6,18260,18,68450,66772,60173,56082,0.1453625606736406,0.1463208145624129,241,6,13,58,1281,Mystic Punch,2.0
TR1_1657751538,12,Briar,4,9,5,9,3.6,18260,18,68450,66772,60173,56082,0.1453625606736406,0.1463208145624129,241,6,13,238,1281,Transmute: Prismatic,1.0
TR1_1657751538,13,Tristana,4,10,7,6,2.29,18260,18,54795,44761,15363,33017,0.1163645222127222,0.0980861033299501,137,0,4,87,1281,Typhoon,0.0
TR1_1657751538,13,Tristana,4,10,7,6,2.29,18260,18,54795,44761,15363,33017,0.1163645222127222,0.0980861033299501,137,0,4,322,1281,Augmented Power,0.0
TR1_1657751538,13,Tristana,4,10,7,6,2.29,18260,18,54795,44761,15363,33017,0.1163645222127222,0.0980861033299501,137,0,4,134,1281,Draw Your Sword,2.0
TR1_1657751538,13,Tristana,4,10,7,6,2.29,18260,18,54795,44761,15363,33017,0.1163645222127222,0.0980861033299501,137,0,4,71,1281,Scopier Weapons,1.0
TR1_1657751538,14,Illaoi,8,10,5,2,2.4,18750,18,46855,65614,22217,52197,0.099502006145061,0.1437816220480592,213,8,9,32,1281,Executioner,0.0
TR1_1657751538,14,Illaoi,8,10,5,2,2.4,18750,18,46855,65614,22217,52197,0.099502006145061,0.1437816220480592,213,8,9,237,1281,Transmute: Gold,0.0
TR1_1657751538,14,Illaoi,8,10,5,2,2.4,18750,18,46855,65614,22217,52197,0.099502006145061,0.1437816220480592,213,8,9,48,1281,Jeweled Gauntlet,2.0
TR1_1657751538,14,Illaoi,8,10,5,2,2.4,18750,18,46855,65614,22217,52197,0.099502006145061,0.1437816220480592,213,8,9,313,1281,Tank Engine,1.0
TR1_1657751538,15,Singed,5,3,6,4,1.17,11750,15,34776,25615,2317,38849,0.1850557980896694,0.1262667847246063,96,0,25,237,1281,Transmute: Gold,0.0
TR1_1657751538,15,Singed,5,3,6,4,1.17,11750,15,34776,25615,2317,38849,0.1850557980896694,0.1262667847246063,96,0,25,176,1281,Snowball Fight!,0.0
TR1_1657751538,15,Singed,5,3,6,4,1.17,11750,15,34776,25615,2317,38849,0.1850557980896694,0.1262667847246063,96,0,25,86,1281,Trueshot Prodigy,2.0
TR1_1657751538,16,Corki,5,6,11,3,0.82,14477,15,34588,29956,3765,16578,0.1840594359246918,0.1476658148257898,163,22,32,206,1281,escAPADe,0.0
TR1_1657751538,16,Corki,5,6,11,3,0.82,14477,15,34588,29956,3765,16578,0.1840594359246918,0.1476658148257898,163,22,32,79,1281,Symphony of War,2.0
TR1_1657744801,1,Riven,2,7,8,13,2.5,11550,16,53739,53033,14682,183357,0.0978540070767323,0.0917403153995878,615,8,50,98,1645,With Haste,1.0
TR1_1657744801,1,Riven,2,7,8,13,2.5,11550,16,53739,53033,14682,183357,0.0978540070767323,0.0917403153995878,615,8,50,27,1645,Earthwake,2.0
TR1_1657744801,1,Riven,2,7,8,13,2.5,11550,16,53739,53033,14682,183357,0.0978540070767323,0.0917403153995878,615,8,50,19,1645,Dashing,2.0
TR1_1657744801,2,Sion,2,19,6,6,4.17,13550,16,74500,90945,15597,208479,0.1356584995892943,0.157321343346834,298,31,71,152,1645,Quest: Steel Your Heart,1.0
TR1_1657744801,2,Sion,2,19,6,6,4.17,13550,16,74500,90945,15597,208479,0.1356584995892943,0.157321343346834,298,31,71,41,1645,Goliath,2.0
TR1_1657744801,2,Sion,2,19,6,6,4.17,13550,16,74500,90945,15597,208479,0.1356584995892943,0.157321343346834,298,31,71,123,1645,Summoner's Roulette,2.0
TR1_1657744801,3,Sylas,6,17,14,7,1.71,19600,18,76087,130902,70380,100291,0.1385482266964192,0.2264415499290647,608,11,135,238,1645,Transmute: Prismatic,1.0
TR1_1657744801,3,Sylas,6,17,14,7,1.71,19600,18,76087,130902,70380,100291,0.1385482266964192,0.2264415499290647,608,11,135,30,1645,Eureka,2.0
TR1_1657744801,3,Sylas,6,17,14,7,1.71,19600,18,76087,130902,70380,100291,0.1385482266964192,0.2264415499290647,608,11,135,45,1645,Infernal Conduit,2.0
TR1_1657744801,3,Sylas,6,17,14,7,1.71,19600,18,76087,130902,70380,100291,0.1385482266964192,0.2264415499290647,608,11,135,16,1645,Combo Master,1.0
TR1_1657744801,4,Zed,7,6,12,2,0.67,7500,14,41989,27808,3159,26297,0.1444603109502444,0.0794521388190938,247,17,55,16,1645,Combo Master,1.0
TR1_1657744801,4,Zed,7,6,12,2,0.67,7500,14,41989,27808,3159,26297,0.1444603109502444,0.0794521388190938,247,17,55,125,1645,Raid Boss,2.0
TR1_1657744801,4,Zed,7,6,12,2,0.67,7500,14,41989,27808,3159,26297,0.1444603109502444,0.0794521388190938,247,17,55,243,1645,Transmute: Chaos,2.0
TR1_1657744801,5,Caitlyn,8,13,11,4,1.55,24493,18,68689,31363,7231,22044,0.1250766040931605,0.0542541244578245,217,21,60,74,1645,Shrink Ray,1.0
TR1_1657744801,5,Caitlyn,8,13,11,4,1.55,24493,18,68689,31363,7231,22044,0.1250766040931605,0.0542541244578245,217,21,60,81,1645,Tap Dancer,2.0
TR1_1657744801,5,Caitlyn,8,13,11,4,1.55,24493,18,68689,31363,7231,22044,0.1250766040931605,0.0542541244578245,217,21,60,225,1645,Dual Wield,2.0
TR1_1657744801,5,Caitlyn,8,13,11,4,1.55,24493,18,68689,31363,7231,22044,0.1250766040931605,0.0542541244578245,217,21,60,312,1645,We'll Be Right Back,1.0
TR1_1657744801,6,Vi,1,9,9,9,2.0,21018,18,53195,41493,14743,43174,0.0968643189667616,0.0717776921137372,190,0,12,154,1645,Quest: Urf's Champion,1.0
TR1_1657744801,6,Vi,1,9,9,9,2.0,21018,18,53195,41493,14743,43174,0.0968643189667616,0.0717776921137372,190,0,12,194,1645,Fey Magic,2.0
TR1_1657744801,6,Vi,1,9,9,9,2.0,21018,18,53195,41493,14743,43174,0.0968643189667616,0.0717776921137372,190,0,12,11,1645,Can't Touch This,2.0
TR1_1657744801,6,Vi,1,9,9,9,2.0,21018,18,53195,41493,14743,43174,0.0968643189667616,0.0717776921137372,190,0,12,250,1645,Slow and Steady,1.0
TR1_1657744801,7,Fiora,1,11,6,8,3.17,16000,18,78760,52238,36759,50060,0.1434156513804356,0.0903642789838963,355,4,31,250,1645,Slow and Steady,1.0
TR1_1657744801,7,Fiora,1,11,6,8,3.17,16000,18,78760,52238,36759,50060,0.1434156513804356,0.0903642789838963,355,4,31,11,1645,Can't Touch This,2.0
TR1_1657744801,7,Fiora,1,11,6,8,3.17,16000,18,78760,52238,36759,50060,0.1434156513804356,0.0903642789838963,355,4,31,6,1645,Blade Waltz,2.0
TR1_1657744801,7,Fiora,1,11,6,8,3.17,16000,18,78760,52238,36759,50060,0.1434156513804356,0.0903642789838963,355,4,31,238,1645,Transmute: Prismatic,1.0
TR1_1657744801,8,MissFortune,4,2,8,3,0.62,7500,13,27207,19900,2603,11602,0.0936063149708483,0.0568580145471804,82,38,207,84,1645,Thread the Needle,1.0
TR1_1657744801,8,MissFortune,4,2,8,3,0.62,7500,13,27207,19900,2603,11602,0.0936063149708483,0.0568580145471804,82,38,207,156,1645,Quest: Wooglet's Witchcap,2.0
TR1_1657744801,9,TahmKench,3,9,5,3,2.4,10003,15,52932,124118,39174,106538,0.1821102990875466,0.3546170548396883,166,31,50,313,1645,Tank Engine,1.0
TR1_1657744801,9,TahmKench,3,9,5,3,2.4,10003,15,52932,124118,39174,106538,0.1821102990875466,0.3546170548396883,166,31,50,54,1645,Master of Duality,2.0
TR1_1657744801,9,TahmKench,3,9,5,3,2.4,10003,15,52932,124118,39174,106538,0.1821102990875466,0.3546170548396883,166,31,50,123,1645,Summoner's Roulette,2.0
TR1_1657744801,10,Yasuo,4,3,7,2,0.71,7000,13,12319,17704,1882,17520,0.0423843630209699,0.0505824771616623,130,2,114,52,1645,Lightning Strikes,1.0
TR1_1657744801,10,Yasuo,4,3,7,2,0.71,7000,13,12319,17704,1882,17520,0.0423843630209699,0.0505824771616623,130,2,114,115,1645,Scopiest Weapons,2.0
TR1_1657744801,11,Pantheon,3,4,17,3,0.41,11000,15,24806,33179,2820,43048,0.0853442422668501,0.0947951500350974,210,2,29,154,1645,Quest: Urf's Champion,1.0
TR1_1657744801,11,Pantheon,3,4,17,3,0.41,11000,15,24806,33179,2820,43048,0.0853442422668501,0.0947951500350974,210,2,29,195,1645,Giant Slayer,2.0
